,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
3050,Fairfield,2.505,0.661,0.33,0.457,0.517,0.413
3052,Fayette,3.316,0.641,0.194,0.386,0.51,0.396
3054,Franklin,1.276,0.635,0.662,0.671,0.463,0.256
3056,Fulton,4.898,0.679,0.17,0.424,0.669,0.32
3058,Gallia,1.81,0.574,0.17,0.372,0.351,0.347
3060,Geauga,3.522,0.599,0.262,0.481,0.612,0.428
3062,Greene,1.28,0.651,0.48,0.412,0.46,0.383
3064,Guernsey,4.33,0.709,0.158,0.433,0.513,0.325
3066,Hamilton,0.924,0.609,0.557,0.571,0.502,0.137
3068,Hancock,3.282,0.673,0.249,0.455,0.545,0.379
3070,Hardin,9.517,0.726,0.083,0.355,0.522,0.453
3072,Harrison,4.509,0.664,0.09,0.349,0.477,0.303
3074,Henry,8.193,0.774,0.116,0.393,0.641,0.376
3076,Highland,4.425,0.673,0.114,0.292,0.552,0.36
3078,Hocking,4.345,0.621,0.132,0.37,0.529,0.366
3080,Holmes,5.595,0.65,0.123,0.395,0.656,0.293
3082,Huron,6.24,0.673,0.141,0.447,0.539,0.43
3084,Jackson,2.868,0.646,0.15,0.362,0.461,0.323
3086,Jefferson,1.61,0.625,0.221,0.381,0.443,0.277
3088,Knox,6.219,0.702,0.108,0.398,0.52,0.356
3090,Lake,1.812,0.642,0.302,0.361,0.587,0.3
3092,Lawrence,1.489,0.646,0.286,0.384,0.365,0.374
3094,Licking,3.253,0.688,0.266,0.46,0.528,0.404
3096,Logan,5.96,0.623,0.117,0.429,0.548,0.366
3098,Lorain,1.291,0.649,0.519,0.498,0.492,0.3
3100,Lucas,0.847,0.64,0.521,0.483,0.476,0.19
3102,Madison,5.194,0.638,0.139,0.392,0.516,0.434
3104,Mahoning,1.859,0.668,0.368,0.46,0.525,0.312
3106,Marion,2.37,0.56,0.213,0.341,0.457,0.445
3108,Medina,1.773,0.637,0.444,0.424,0.614,0.365
3110,Meigs,1.163,0.612,0.204,0.334,0.351,0.328
3112,Mercer,10.15,0.719,0.103,0.406,0.681,0.422
3114,Miami,1.786,0.653,0.365,0.354,0.567,0.384
3116,Monroe,3.722,0.692,0.123,0.342,0.475,0.333
3118,Montgomery,0.996,0.608,0.666,0.544,0.479,0.284
3120,Morgan,2.179,0.623,0.161,0.333,0.474,0.303
3122,Morrow,5.43,0.612,0.094,0.337,0.481,0.402
3124,Muskingum,2.505,0.674,0.212,0.389,0.492,0.318
3126,Noble,2.78,0.588,0.125,0.334,0.476,0.311
3128,Ottawa,2.432,0.645,0.225,0.375,0.579,0.289
3130,Paulding,5.471,0.67,0.119,0.425,0.493,0.356
3132,Perry,3.094,0.681,0.163,0.42,0.393,0.345
3134,Pickaway,4.06,0.642,0.212,0.48,0.508,0.432
3136,Pike,3.475,0.701,0.155,0.395,0.425,0.359
3138,Portage,2.096,0.683,0.417,0.476,0.508,0.412
3140,Preble,4.379,0.627,0.131,0.374,0.448,0.423
3142,Putnam,6.349,0.757,0.159,0.423,0.723,0.318
3144,Richland,3.475,0.626,0.231,0.489,0.567,0.351
3146,Ross,3.538,0.591,0.167,0.443,0.432,0.394
3148,Sandusky,3.326,0.562,0.188,0.438,0.573,0.332
3150,Scioto,2.442,0.597,0.198,0.448,0.372,0.36
3152,Seneca,4.981,0.778,0.18,0.397,0.565,0.401
3154,Shelby,3.975,0.659,0.161,0.377,0.564,0.35
3156,Stark,1.467,0.612,0.497,0.548,0.545,0.268
3158,Summit,1.045,0.647,0.633,0.514,0.543,0.238
3160,Trumbull,2.578,0.662,0.31,0.491,0.468,0.398
3162,Tuscarawas,2.931,0.665,0.26,0.49,0.558,0.301
3164,Union,3.947,0.672,0.198,0.429,0.527,0.402
3166,Van Wert,2.346,0.711,0.27,0.336,0.531,0.388
3168,Vinton,2.068,0.61,0.162,0.333,0.363,0.385
3170,Warren,1.007,0.644,0.644,0.408,0.529,0.357
3172,Washington,3.024,0.619,0.208,0.469,0.484,0.332
3174,Wayne,4.164,0.657,0.26,0.55,0.635,0.382
3176,Williams,6.116,0.684,0.138,0.468,0.535,0.379
3178,Wood,2.952,0.687,0.354,0.594,0.529,0.367
3180,Wyandot,6.245,0.723,0.133,0.391,0.555,0.413
