,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
3680,Oklahoma,3.179,0.649,0.244,0.384,0.53,0.401
3682,Adair,1.875,0.591,0.152,0.328,0.322,0.396
3684,Alfalfa,1.816,0.676,0.257,0.188,0.736,0.303
3686,Atoka,1.979,0.621,0.252,0.377,0.416,0.4
3688,Beaver,2.239,0.652,0.347,0.353,0.597,0.438
3690,Beckham,4.391,0.613,0.18,0.437,0.674,0.326
3692,Blaine,1.94,0.677,0.361,0.277,0.659,0.407
3694,Bryan,4.14,0.583,0.192,0.464,0.495,0.469
3696,Caddo,3.878,0.753,0.268,0.489,0.519,0.428
3698,Canadian,1.841,0.623,0.497,0.511,0.577,0.395
3700,Carter,3.017,0.649,0.25,0.423,0.559,0.38
3702,Cherokee,3.339,0.577,0.189,0.423,0.39,0.489
3704,Choctaw,5.92,0.645,0.135,0.417,0.439,0.516
3706,Cimarron,2.64,0.71,0.269,0.273,0.595,0.45
3708,Cleveland,0.77,0.715,0.889,0.388,0.493,0.389
3710,Coal,1.218,0.735,0.318,0.226,0.443,0.428
3712,Comanche,2.584,0.666,0.312,0.538,0.462,0.354
3714,Cotton,1.86,0.683,0.188,0.271,0.422,0.391
3716,Craig,6.09,0.607,0.15,0.369,0.619,0.529
3718,Creek,3.071,0.717,0.273,0.473,0.502,0.375
3720,Custer,4.251,0.575,0.212,0.449,0.691,0.412
3722,Delaware,2.099,0.562,0.257,0.459,0.407,0.381
3724,Dewey,3.116,0.733,0.269,0.429,0.569,0.358
3726,Ellis,2.967,0.728,0.288,0.346,0.634,0.409
3728,Garfield,4.687,0.581,0.161,0.469,0.557,0.389
3730,Garvin,3.309,0.623,0.168,0.408,0.49,0.342
3732,Grady,3.236,0.641,0.247,0.464,0.578,0.357
3734,Grant,2.516,0.701,0.302,0.32,0.693,0.353
3736,Greer,1.71,0.599,0.199,0.169,0.606,0.378
3738,Harmon,-0.986,0.614,0.256,0.077,0.325,0.303
3740,Harper,2.964,0.657,0.287,0.341,0.696,0.415
3742,Haskell,3.131,0.715,0.168,0.312,0.466,0.401
3744,Hughes,1.638,0.601,0.2,0.288,0.474,0.344
3746,Jackson,1.678,0.633,0.346,0.38,0.472,0.398
3748,Jefferson,1.92,0.695,0.209,0.216,0.486,0.426
3750,Johnston,2.151,0.685,0.221,0.331,0.383,0.43
3752,Kay,5.864,0.761,0.179,0.437,0.555,0.458
3754,Kingfisher,4.885,0.749,0.201,0.359,0.706,0.393
3756,Kiowa,2.918,0.68,0.279,0.32,0.711,0.386
3758,Latimer,2.248,0.532,0.191,0.319,0.47,0.42
3760,Le Flore,2.851,0.436,0.236,0.548,0.393,0.533
3762,Lincoln,4.431,0.745,0.206,0.402,0.632,0.372
3764,Logan,3.181,0.675,0.21,0.392,0.511,0.384
3766,Love,1.989,0.614,0.236,0.294,0.502,0.405
3768,Major,2.479,0.627,0.206,0.288,0.665,0.302
3770,Marshall,1.521,0.568,0.237,0.309,0.415,0.405
3772,Mayes,4.002,0.584,0.18,0.495,0.487,0.389
3774,McClain,3.727,0.686,0.24,0.433,0.639,0.363
3776,McCurtain,3.334,0.487,0.157,0.478,0.345,0.458
3778,McIntosh,3.487,0.638,0.171,0.376,0.439,0.434
3780,Murray,4.068,0.641,0.153,0.331,0.598,0.373
3782,Muskogee,4.355,0.572,0.201,0.497,0.529,0.474
3784,Noble,4.963,0.682,0.161,0.366,0.58,0.432
3786,Nowata,3.127,0.751,0.191,0.26,0.553,0.413
3788,Okfuskee,2.791,0.712,0.145,0.298,0.428,0.379
3790,Oklahoma,0.868,0.564,0.783,0.575,0.522,0.264
3792,Okmulgee,4.724,0.642,0.134,0.368,0.513,0.406
3794,Osage,7.378,0.683,0.177,0.503,0.501,0.644
3796,Ottawa,3.231,0.734,0.237,0.416,0.411,0.459
3798,Pawnee,5.848,0.74,0.126,0.346,0.516,0.431
3800,Payne,2.937,0.649,0.293,0.482,0.489,0.439
3802,Pittsburg,4.262,0.59,0.193,0.522,0.556,0.369
3804,Pontotoc,4.237,0.564,0.168,0.432,0.596,0.383
3806,Pottawatomie,3.184,0.688,0.194,0.392,0.489,0.364
3808,Pushmataha,4.008,0.654,0.139,0.389,0.412,0.41
3810,Roger Mills,2.428,0.755,0.3,0.354,0.649,0.303
3812,Rogers,4.186,0.749,0.291,0.501,0.545,0.496
3814,Seminole,2.142,0.672,0.18,0.272,0.511,0.344
3816,Sequoyah,3.207,0.499,0.156,0.439,0.414,0.414
3818,Stephens,3.337,0.615,0.157,0.376,0.521,0.336
3820,Texas,4.574,0.623,0.205,0.483,0.554,0.459
3822,Tillman,2.456,0.662,0.171,0.257,0.476,0.412
3824,Tulsa,1.117,0.679,0.832,0.628,0.486,0.301
3826,Wagoner,3.678,0.646,0.235,0.498,0.466,0.445
3828,Washington,2.702,0.694,0.223,0.32,0.561,0.371
3830,Washita,3.242,0.659,0.239,0.331,0.699,0.375
3832,Woods,3.845,0.667,0.173,0.347,0.625,0.342
3834,Woodward,6.006,0.598,0.147,0.484,0.672,0.351
3836,Texas,2.835,0.577,0.223,0.377,0.459,0.403
3838,Anderson,4.889,0.557,0.138,0.475,0.412,0.461
3840,Andrews,2.048,0.486,0.108,0.339,0.349,0.352
3842,Angelina,3.534,0.515,0.195,0.516,0.448,0.441
3844,Aransas,3.07,0.573,0.18,0.334,0.404,0.522
3846,Archer,5.967,0.603,0.123,0.431,0.603,0.361
3848,Armstrong,0.55,0.57,0.33,0.203,0.462,0.354
3850,Atascosa,6.983,0.587,0.091,0.451,0.41,0.436
3852,Austin,5.903,0.594,0.111,0.42,0.535,0.379
3854,Bailey,0.779,0.538,0.236,0.241,0.405,0.367
3856,Bandera,6.551,0.565,0.085,0.373,0.529,0.387
3858,Bastrop,1.739,0.493,0.291,0.524,0.465,0.293
3860,Baylor,0.635,0.404,0.135,0.134,0.44,0.403
3862,Bee,7.086,0.773,0.102,0.351,0.413,0.484
3864,Bell,1.036,0.281,0.496,0.68,0.447,0.463
3866,Bexar,1.156,0.261,0.53,0.884,0.521,0.391
3868,Blanco,1.374,0.238,0.237,0.351,0.691,0.438
3870,Borden,0.417,0.665,0.139,0.133,0.386,0.396
3872,Bosque,6.477,0.586,0.114,0.423,0.554,0.424
3874,Bowie,2.191,0.488,0.312,0.519,0.458,0.454
3876,Brazoria,2.694,0.662,0.602,0.776,0.524,0.549
3878,Brazos,1.739,0.497,0.323,0.531,0.426,0.357
3880,Brewster,5.862,0.642,0.151,0.36,0.59,0.511
3882,Briscoe,2.225,0.678,0.237,0.289,0.529,0.394
3884,Brooks,-0.129,0.557,0.27,0.228,0.165,0.408
3886,Brown,3.701,0.535,0.159,0.414,0.578,0.35
3888,Burleson,4.754,0.647,0.128,0.337,0.511,0.42
3890,Burnet,4.301,0.585,0.203,0.431,0.596,0.477
3892,Caldwell,2.825,0.465,0.138,0.403,0.509,0.312
3894,Calhoun,2.808,0.505,0.217,0.435,0.429,0.49
3896,Callahan,3.683,0.564,0.159,0.384,0.537,0.389
3898,Cameron,4.001,0.575,0.334,0.702,0.384,0.69
3900,Camp,1.03,0.623,0.278,0.244,0.467,0.362
3902,Carson,2.129,0.762,0.468,0.38,0.635,0.426
3904,Cass,2.324,0.565,0.206,0.38,0.402,0.425
3906,Castro,1.56,0.558,0.203,0.233,0.324,0.533
3908,Chambers,1.567,0.615,0.571,0.511,0.44,0.5
3910,Cherokee,4.782,0.528,0.133,0.506,0.393,0.441
3912,Childress,0.866,0.375,0.198,0.239,0.481,0.356
3914,Clay,8.308,0.662,0.108,0.413,0.674,0.38
3916,Cochran,-0.606,0.487,0.247,0.03,0.396,0.339
3918,Coke,0.272,0.594,0.102,0.27,0.228,0.357
3920,Coleman,2.797,0.7,0.133,0.229,0.501,0.38
3922,Collin,2.168,0.699,0.549,0.678,0.527,0.351
3924,Collingsworth,1.058,0.629,0.25,0.168,0.644,0.288
3926,Colorado,6.818,0.589,0.095,0.379,0.559,0.403
3928,Comal,0.981,0.29,0.38,0.505,0.595,0.313
3930,Comanche,4.608,0.679,0.115,0.338,0.433,0.417
3932,Concho,3.62,0.719,0.102,0.208,0.502,0.396
3934,Cooke,4.78,0.606,0.135,0.471,0.496,0.339
3936,Coryell,5.613,0.624,0.143,0.445,0.446,0.497
3938,Cottle,0.341,0.688,0.315,0.228,0.387,0.32
3940,Crane,1.158,0.563,0.143,0.159,0.435,0.413
3942,Crockett,6.122,0.543,0.102,0.304,0.581,0.489
3944,Crosby,2.219,0.472,0.147,0.292,0.476,0.397
3946,Culberson,0.754,0.67,0.214,0.187,0.456,0.344
3948,Dallam,1.14,0.658,0.299,0.258,0.509,0.338
3950,Dallas,1.232,0.635,0.844,0.789,0.485,0.236
3952,Dawson,2.599,0.591,0.097,0.295,0.463,0.298
3954,Deaf Smith,1.506,0.475,0.2,0.304,0.455,0.377
3956,Delta,0.881,0.673,0.289,0.227,0.376,0.421
3958,Denton,2.632,0.676,0.512,0.711,0.493,0.46
3960,DeWitt,4.451,0.517,0.102,0.298,0.475,0.468
3962,Dickens,0.061,0.674,0.212,0.091,0.403,0.401
3964,Dimmit,5.251,0.466,0.08,0.328,0.475,0.443
3966,Donley,1.274,0.73,0.345,0.315,0.527,0.295
3968,Duval,1.758,0.548,0.108,0.327,0.275,0.38
3970,Eastland,3.25,0.471,0.12,0.354,0.491,0.374
3972,Ector,1.459,0.581,0.382,0.507,0.448,0.296
3974,Edwards,0.592,0.498,0.118,0.205,0.385,0.341
3976,El Paso,2.536,0.637,0.417,0.709,0.443,0.367
3978,Ellis,2.991,0.711,0.446,0.716,0.538,0.371
3980,Erath,8.733,0.698,0.116,0.452,0.558,0.469
3982,Falls,2.417,0.523,0.155,0.326,0.405,0.426
3984,Fannin,6.984,0.647,0.115,0.452,0.501,0.428
3986,Fayette,6.177,0.451,0.091,0.423,0.584,0.395
3988,Fisher,1.176,0.569,0.174,0.183,0.475,0.382
3990,Floyd,2.534,0.596,0.238,0.212,0.552,0.553
3992,Foard,0.79,0.464,0.096,0.249,0.308,0.364
3994,Fort Bend,3.545,0.644,0.411,0.785,0.58,0.42
3996,Franklin,0.984,0.718,0.231,0.271,0.393,0.334
3998,Freestone,2.167,0.511,0.198,0.406,0.432,0.37
4000,Frio,4.964,0.632,0.085,0.335,0.378,0.419
4002,Gaines,2.636,0.546,0.135,0.294,0.487,0.37
4004,Galveston,1.257,0.61,0.753,0.608,0.472,0.408
4006,Garza,0.911,0.469,0.251,0.219,0.52,0.359
4008,Gillespie,5.654,0.513,0.132,0.385,0.691,0.436
4010,Glasscock,0.417,0.603,0.195,0.162,0.386,0.384
4012,Goliad,2.783,0.54,0.126,0.277,0.409,0.452
4014,Gonzales,5.614,0.622,0.075,0.356,0.378,0.4
4016,Gray,-0.014,0.638,0.262,0.21,0.478,0.202
4018,Grayson,5.524,0.615,0.18,0.685,0.512,0.32
4020,Gregg,0.785,0.564,0.613,0.396,0.561,0.283
4022,Grimes,1.601,0.529,0.237,0.372,0.468,0.328
4024,Guadalupe,2.822,0.578,0.253,0.557,0.476,0.331
4026,Hale,3.02,0.631,0.252,0.317,0.496,0.563
4028,Hall,0.691,0.559,0.235,0.126,0.484,0.408
4030,Hamilton,3.915,0.599,0.131,0.311,0.484,0.439
4032,Hansford,1.306,0.649,0.262,0.34,0.45,0.299
4034,Hardeman,1.224,0.39,0.108,0.235,0.453,0.335
4036,Hardin,1.725,0.594,0.357,0.365,0.546,0.403
4038,Harris,1.345,0.611,0.758,0.837,0.491,0.192
4040,Harrison,2.173,0.605,0.356,0.523,0.432,0.422
4042,Hartley,1.316,0.722,0.233,0.319,0.44,0.289
4044,Haskell,3.094,0.513,0.119,0.214,0.492,0.482
4046,Hays,0.943,0.301,0.454,0.587,0.557,0.31
4048,Hemphill,0.609,0.575,0.393,0.251,0.489,0.32
4050,Henderson,5.915,0.606,0.141,0.536,0.439,0.441
4052,Hidalgo,2.938,0.548,0.485,0.731,0.39,0.767
4054,Hill,4.291,0.477,0.136,0.47,0.459,0.436
4056,Hockley,3.576,0.684,0.178,0.387,0.519,0.357
4058,Hood,2.698,0.588,0.28,0.469,0.535,0.399
4060,Hopkins,6.848,0.63,0.104,0.425,0.559,0.367
4062,Houston,2.119,0.595,0.273,0.407,0.394,0.453
4064,Howard,4.099,0.598,0.146,0.322,0.465,0.502
4066,Hudspeth,3.255,0.617,0.08,0.316,0.256,0.438
4068,Hunt,2.584,0.568,0.243,0.576,0.384,0.331
4070,Hutchinson,1.115,0.629,0.264,0.318,0.486,0.271
4072,Irion,1.992,0.712,0.24,0.245,0.433,0.475
4074,Jack,2.441,0.672,0.132,0.297,0.423,0.348
4076,Jackson,5.51,0.586,0.121,0.337,0.538,0.481
4078,Jasper,1.9,0.586,0.371,0.431,0.463,0.465
4080,Jeff Davis,1.305,0.386,0.143,0.292,0.318,0.439
4082,Jefferson,2.005,0.534,0.53,0.698,0.521,0.449
4084,Jim Hogg,1.029,0.606,0.262,0.219,0.47,0.381
4086,Jim Wells,3.181,0.572,0.109,0.328,0.392,0.391
4088,Johnson,2.782,0.6,0.359,0.595,0.515,0.434
4090,Jones,4.895,0.645,0.116,0.266,0.52,0.468
4092,Karnes,3.957,0.618,0.098,0.32,0.406,0.398
4094,Kaufman,2.182,0.688,0.446,0.547,0.506,0.392
4096,Kendall,4.833,0.456,0.144,0.432,0.678,0.423
4098,Kenedy,2.512,0.656,0.117,0.304,0.273,0.447
4100,Kent,0.166,0.709,0.308,0.214,0.27,0.395
4102,Kerr,6.409,0.45,0.098,0.487,0.55,0.412
4104,Kimble,4.393,0.496,0.134,0.208,0.747,0.474
4106,King,0.943,0.861,0.324,0.215,0.452,0.363
4108,Kinney,1.693,0.542,0.097,0.315,0.225,0.416
4110,Kleberg,3.41,0.6,0.124,0.314,0.379,0.458
4112,Knox,4.216,0.647,0.129,0.338,0.49,0.398
4114,La Salle,-0.964,0.629,0.09,0.176,0.292,0.333
4116,Lamar,4.756,0.589,0.169,0.481,0.511,0.439
4118,Lamb,2.592,0.681,0.157,0.246,0.48,0.406
4120,Lampasas,4.618,0.573,0.111,0.336,0.526,0.393
4122,Lavaca,6.844,0.568,0.098,0.357,0.618,0.414
4124,Lee,4.309,0.6,0.101,0.337,0.519,0.328
4126,Leon,4.069,0.625,0.146,0.434,0.457,0.363
4128,Liberty,2.381,0.568,0.316,0.508,0.467,0.428
4130,Limestone,3.567,0.637,0.176,0.398,0.468,0.408
4132,Lipscomb,1.241,0.774,0.334,0.332,0.375,0.371
4134,Live Oak,7.268,0.56,0.094,0.384,0.547,0.458
4136,Llano,5.349,0.576,0.101,0.381,0.482,0.396
4138,Loving,1.779,0.787,0.092,0.223,0.308,0.411
4140,Lubbock,1.818,0.545,0.492,0.599,0.495,0.437
4142,Lynn,3.234,0.711,0.207,0.34,0.448,0.469
4144,Madison,1.661,0.645,0.148,0.243,0.442,0.352
4146,Marion,0.781,0.431,0.249,0.256,0.341,0.447
4148,Martin,1.494,0.543,0.157,0.227,0.528,0.321
4150,Mason,3.04,0.394,0.13,0.323,0.592,0.4
4152,Matagorda,2.677,0.545,0.256,0.44,0.431,0.503
4154,Maverick,3.521,0.677,0.143,0.446,0.269,0.419
4156,McCulloch,3.778,0.558,0.098,0.275,0.414,0.456
4158,McLennan,3.588,0.539,0.326,0.691,0.534,0.521
4160,McMullen,-0.695,0.624,0.11,0.213,0.233,0.347
4162,Medina,4.297,0.423,0.121,0.49,0.491,0.388
4164,Menard,1.54,0.523,0.191,0.209,0.528,0.394
4166,Midland,1.66,0.623,0.314,0.461,0.443,0.299
4168,Milam,3.343,0.505,0.128,0.4,0.458,0.357
4170,Mills,2.185,0.506,0.178,0.323,0.456,0.412
4172,Mitchell,2.219,0.558,0.134,0.257,0.439,0.4
4174,Montague,2.572,0.575,0.142,0.32,0.422,0.388
4176,Montgomery,1.539,0.614,0.59,0.644,0.496,0.32
4178,Moore,1.442,0.584,0.357,0.423,0.423,0.376
4180,Morris,0.852,0.627,0.271,0.231,0.446,0.357
4182,Motley,0.398,0.547,0.245,0.187,0.412,0.354
4184,Nacogdoches,3.253,0.519,0.157,0.425,0.413,0.424
4186,Navarro,2.113,0.636,0.324,0.498,0.434,0.364
4188,Newton,0.86,0.556,0.272,0.262,0.357,0.415
4190,Nolan,2.486,0.458,0.152,0.407,0.455,0.344
4192,Nueces,2.518,0.639,0.465,0.699,0.477,0.419
4194,Ochiltree,1.168,0.623,0.289,0.283,0.451,0.367
4196,Oldham,0.684,0.86,0.328,0.278,0.382,0.313
4198,Orange,0.848,0.501,0.624,0.446,0.458,0.394
4200,Palo Pinto,3.404,0.611,0.171,0.455,0.411,0.378
4202,Panola,2.427,0.512,0.186,0.395,0.378,0.443
4204,Parker,4.123,0.647,0.253,0.63,0.528,0.366
4206,Parmer,3.377,0.651,0.174,0.342,0.412,0.48
4208,Pecos,4.72,0.59,0.157,0.502,0.512,0.372
4210,Polk,1.733,0.558,0.336,0.481,0.322,0.459
4212,Potter,1.5,0.471,0.477,0.482,0.607,0.424
4214,Presidio,4.401,0.596,0.098,0.343,0.337,0.466
4216,Rains,3.426,0.61,0.139,0.355,0.53,0.322
4218,Randall,1.625,0.593,0.474,0.408,0.594,0.425
4220,Reagan,1.49,0.559,0.188,0.196,0.525,0.385
4222,Real,2.888,0.609,0.086,0.199,0.407,0.439
4224,Red River,1.089,0.639,0.262,0.298,0.359,0.385
4226,Reeves,2.043,0.605,0.11,0.292,0.425,0.308
4228,Refugio,3.961,0.631,0.116,0.266,0.443,0.468
4230,Roberts,0.382,0.689,0.349,0.187,0.47,0.314
4232,Robertson,2.598,0.6,0.173,0.355,0.405,0.41
4234,Rockwall,1.656,0.706,0.476,0.333,0.609,0.42
4236,Runnels,2.629,0.684,0.231,0.22,0.546,0.5
4238,Rusk,2.966,0.586,0.209,0.507,0.407,0.368
4240,Sabine,2.456,0.464,0.127,0.327,0.305,0.49
4242,San Augustine,1.39,0.421,0.132,0.205,0.344,0.494
4244,San Jacinto,1.294,0.542,0.263,0.275,0.347,0.493
4246,San Patricio,3.86,0.615,0.189,0.489,0.402,0.444
4248,San Saba,2.593,0.626,0.161,0.188,0.625,0.382
4250,Schleicher,2.54,0.458,0.113,0.229,0.497,0.423
4252,Scurry,2.706,0.674,0.149,0.324,0.413,0.375
4254,Shackelford,1.336,0.718,0.247,0.292,0.336,0.415
4256,Shelby,1.991,0.565,0.144,0.34,0.287,0.422
4258,Sherman,0.74,0.625,0.244,0.239,0.444,0.317
4260,Smith,2.703,0.59,0.366,0.63,0.532,0.387
4262,Somervell,2.255,0.37,0.175,0.341,0.529,0.455
4264,Starr,4.902,0.581,0.174,0.473,0.193,0.745
4266,Stephens,0.471,0.447,0.262,0.188,0.465,0.351
4268,Sterling,3.273,0.683,0.17,0.244,0.611,0.392
4270,Stonewall,0.292,0.49,0.291,0.048,0.554,0.389
4272,Sutton,1.267,0.4,0.23,0.225,0.591,0.393
4274,Swisher,2.365,0.637,0.208,0.251,0.382,0.55
4276,Tarrant,1.406,0.633,0.683,0.717,0.497,0.255
4278,Taylor,2.963,0.633,0.312,0.559,0.511,0.394
4280,Iowa,5.263,0.704,0.21,0.382,0.653,0.419
4282,Adair,5.225,0.786,0.229,0.421,0.69,0.423
4284,Adams,1.628,0.79,0.303,0.206,0.647,0.327
4286,Allamakee,6.77,0.711,0.131,0.369,0.678,0.378
4288,Appanoose,3.713,0.686,0.164,0.306,0.562,0.395
4290,Audubon,4.278,0.735,0.202,0.255,0.788,0.387
4292,Benton,7.419,0.721,0.158,0.481,0.7,0.393
4294,Black Hawk,2.088,0.708,0.486,0.527,0.561,0.376
4296,Boone,4.68,0.645,0.171,0.364,0.636,0.414
4298,Bremer,9.923,0.735,0.149,0.434,0.792,0.526
4300,Buchanan,5.753,0.679,0.185,0.437,0.675,0.435
4302,Buena Vista,7.584,0.752,0.147,0.425,0.614,0.465
4304,Butler,6.096,0.721,0.202,0.398,0.736,0.488
4306,Calhoun,3.035,0.726,0.271,0.324,0.666,0.392
4308,Carroll,6.262,0.686,0.17,0.439,0.8,0.331
4310,Cass,6.089,0.657,0.191,0.384,0.843,0.445
4312,Cedar,8.664,0.717,0.146,0.441,0.677,0.511
4314,Cerro Gordo,4.168,0.653,0.217,0.423,0.618,0.424
4316,Cherokee,9.518,0.678,0.101,0.319,0.83,0.38
4318,Chickasaw,13.918,0.717,0.092,0.376,0.777,0.513
4320,Clarke,3.006,0.596,0.177,0.297,0.547,0.418
4322,Clay,6.025,0.635,0.188,0.379,0.801,0.487
4324,Clayton,11.687,0.718,0.113,0.477,0.781,0.417
4326,Clinton,4.947,0.743,0.217,0.439,0.565,0.473
4328,Crawford,5.054,0.663,0.146,0.418,0.607,0.327
4330,Dallas,3.339,0.766,0.399,0.532,0.586,0.477
4332,Davis,2.076,0.697,0.201,0.29,0.46,0.375
4334,Decatur,2.984,0.724,0.182,0.291,0.509,0.396
4336,Delaware,3.677,0.687,0.297,0.43,0.771,0.378
4338,Des Moines,3.001,0.705,0.282,0.336,0.561,0.489
4340,Dickinson,6.185,0.654,0.186,0.431,0.721,0.485
4342,Dubuque,3.285,0.671,0.322,0.494,0.684,0.372
4344,Emmet,5.979,0.673,0.151,0.302,0.688,0.483
4346,Fayette,11.248,0.685,0.096,0.362,0.73,0.479
4348,Floyd,6.656,0.693,0.132,0.385,0.635,0.405
4350,Franklin,3.991,0.712,0.198,0.312,0.641,0.415
4352,Fremont,3.682,0.775,0.258,0.253,0.728,0.456
4354,Greene,5.692,0.723,0.17,0.353,0.739,0.386
4356,Grundy,8.028,0.764,0.156,0.379,0.732,0.486
4358,Guthrie,4.664,0.707,0.189,0.39,0.625,0.397
4360,Hamilton,3.703,0.663,0.173,0.39,0.578,0.322
4362,Hancock,7.334,0.724,0.131,0.321,0.674,0.468
4364,Hardin,5.135,0.675,0.188,0.403,0.683,0.413
4366,Harrison,3.509,0.79,0.263,0.332,0.677,0.387
4368,Henry,7.179,0.76,0.156,0.395,0.599,0.504
4370,Howard,8.467,0.72,0.115,0.312,0.673,0.486
4372,Humboldt,3.489,0.683,0.153,0.328,0.542,0.343
4374,Ida,8.366,0.736,0.105,0.287,0.748,0.389
4376,Iowa,5.631,0.706,0.188,0.417,0.675,0.43
4378,Jackson,3.958,0.698,0.233,0.428,0.614,0.396
4380,Jasper,3.825,0.666,0.2,0.424,0.565,0.369
4382,Jefferson,3.401,0.658,0.189,0.271,0.63,0.413
4384,Johnson,3.598,0.681,0.332,0.55,0.548,0.493
4386,Jones,4.844,0.705,0.204,0.366,0.719,0.412
4388,Keokuk,5.122,0.723,0.167,0.34,0.6,0.446
4390,Kossuth,8.941,0.712,0.142,0.459,0.745,0.447
4392,Lee,3.816,0.662,0.256,0.401,0.624,0.481
4394,Linn,1.863,0.692,0.75,0.681,0.623,0.398
4396,Louisa,4.685,0.721,0.19,0.322,0.57,0.511
4398,Lucas,2.074,0.696,0.177,0.258,0.472,0.371
4400,Lyon,7.903,0.731,0.131,0.364,0.74,0.403
4402,Madison,5.13,0.731,0.205,0.375,0.694,0.438
4404,Mahaska,5.443,0.712,0.17,0.337,0.63,0.472
4406,Marion,4.977,0.606,0.185,0.428,0.706,0.404
4408,Marshall,4.005,0.69,0.181,0.417,0.532,0.364
4410,Mills,4.233,0.758,0.23,0.401,0.649,0.382
4412,Mitchell,8.104,0.728,0.14,0.355,0.735,0.475
4414,Monona,4.388,0.694,0.157,0.305,0.583,0.422
4416,Monroe,2.814,0.684,0.222,0.284,0.629,0.373
4418,Montgomery,2.717,0.584,0.172,0.215,0.646,0.39
4420,Muscatine,3.346,0.65,0.243,0.365,0.546,0.49
4422,O'Brien,8.334,0.663,0.123,0.38,0.712,0.463
4424,Osceola,4.57,0.682,0.236,0.39,0.716,0.462
4426,Page,5.157,0.622,0.128,0.292,0.634,0.422
4428,Palo Alto,6.431,0.744,0.158,0.375,0.697,0.406
4430,Plymouth,9.143,0.715,0.114,0.467,0.722,0.323
4432,Pocahontas,3.096,0.723,0.313,0.302,0.69,0.479
4434,Polk,1.733,0.657,0.746,0.715,0.581,0.375
4436,Pottawattamie,3.993,0.725,0.246,0.53,0.54,0.359
4438,Poweshiek,5.775,0.678,0.177,0.436,0.702,0.391
4440,Ringgold,1.737,0.717,0.36,0.228,0.664,0.39
4442,Sac,3.558,0.759,0.262,0.335,0.697,0.393
4444,Scott,1.745,0.627,0.477,0.472,0.567,0.389
4446,Shelby,9.977,0.727,0.108,0.368,0.784,0.391
4448,Sioux,6.45,0.675,0.194,0.484,0.831,0.378
4450,Story,3.478,0.708,0.311,0.587,0.53,0.376
4452,Tama,4.247,0.738,0.177,0.369,0.523,0.409
4454,Taylor,1.137,0.741,0.292,0.174,0.539,0.376
4456,Union,3.125,0.64,0.221,0.289,0.705,0.375
4458,Van Buren,4.164,0.798,0.172,0.34,0.461,0.442
4460,Wapello,1.991,0.642,0.265,0.347,0.498,0.374
4462,Warren,4.842,0.645,0.2,0.435,0.62,0.458
4464,Washington,10.068,0.768,0.131,0.42,0.74,0.464
4466,Wayne,1.801,0.717,0.261,0.256,0.522,0.386
4468,Webster,4.654,0.718,0.203,0.423,0.62,0.396
4470,Winnebago,7.573,0.744,0.145,0.331,0.767,0.442
4472,Winneshiek,11.567,0.67,0.093,0.403,0.776,0.41
4474,Woodbury,4.907,0.77,0.232,0.563,0.579,0.342
4476,Worth,5.903,0.78,0.157,0.339,0.573,0.471
4478,Wright,5.833,0.73,0.143,0.325,0.639,0.416
4480,Kansas,4.594,0.698,0.195,0.332,0.651,0.369
4482,Allen,6.363,0.67,0.126,0.355,0.614,0.425
4484,Anderson,8.097,0.718,0.125,0.298,0.802,0.425
4486,Atchison,5.877,0.6,0.106,0.328,0.584,0.412
4488,Barber,3.689,0.689,0.137,0.258,0.656,0.308
4490,Barton,2.752,0.69,0.334,0.425,0.684,0.347
4492,Bourbon,4.195,0.699,0.185,0.275,0.647,0.451
4494,Brown,10.405,0.85,0.13,0.338,0.742,0.502
4496,Butler,5.826,0.651,0.214,0.611,0.639,0.419
4498,Chase,2.427,0.762,0.226,0.273,0.506,0.406
4500,Chautauqua,2.762,0.754,0.155,0.15,0.685,0.335
4502,Cherokee,3.056,0.558,0.222,0.368,0.568,0.455
4504,Cheyenne,4.606,0.851,0.163,0.296,0.627,0.349
4506,Clark,2.315,0.669,0.2,0.306,0.555,0.319
4508,Clay,7.463,0.637,0.102,0.276,0.748,0.4
4510,Cloud,6.558,0.68,0.107,0.305,0.751,0.304
4512,Coffey,9.115,0.817,0.134,0.405,0.777,0.363
4514,Comanche,3.907,0.775,0.137,0.245,0.541,0.397
4516,Cowley,3.245,0.631,0.182,0.427,0.5,0.333
4518,Crawford,4.833,0.592,0.174,0.468,0.554,0.441
4520,Decatur,4.265,0.669,0.141,0.222,0.704,0.377
4522,Dickinson,7.469,0.67,0.132,0.397,0.721,0.406
4524,Doniphan,9.177,0.811,0.103,0.332,0.61,0.438
4526,Douglas,3.609,0.6,0.254,0.514,0.545,0.443
4528,Edwards,1.797,0.681,0.211,0.152,0.633,0.369
4530,Elk,1.464,0.787,0.213,0.275,0.421,0.34
4532,Ellis,3.994,0.568,0.181,0.422,0.734,0.288
4534,Ellsworth,6.656,0.75,0.154,0.335,0.744,0.411
4536,Finney,4.658,0.653,0.154,0.429,0.632,0.29
4538,Ford,5.126,0.71,0.186,0.429,0.569,0.44
4540,Franklin,6.232,0.629,0.129,0.393,0.634,0.402
4542,Geary,3.437,0.756,0.197,0.365,0.47,0.407
4544,Gove,4.817,0.756,0.181,0.325,0.812,0.282
4546,Graham,2.483,0.707,0.245,0.196,0.704,0.389
4548,Grant,1.936,0.826,0.254,0.242,0.597,0.316
